Designator,Mid X,Mid Y,Rotation,Layer
D1,228.38125,-93.21875,90.0,bottom
D10,247.43125,-150.36875,90.0,bottom
D11,247.43125,-169.41875,90.0,bottom
D12,247.43125,-188.46875,90.0,bottom
D13,266.48125,-93.21875,90.0,bottom
D14,266.48125,-112.26875,90.0,bottom
D15,266.48125,-131.31875,90.0,bottom
D16,266.48125,-150.36875,90.0,bottom
D17,266.48125,-169.41875,90.0,bottom
D18,266.48125,-188.46875,90.0,bottom
D19,285.53125,-93.21875,90.0,bottom
D2,228.38125,-112.26875,90.0,bottom
D20,285.53125,-112.26875,90.0,bottom
D21,285.53125,-131.31875,90.0,bottom
D22,285.53125,-150.36875,90.0,bottom
D23,304.58125,-93.21875,90.0,bottom
D24,304.58125,-112.26875,90.0,bottom
D25,304.58125,-131.31875,90.0,bottom
D26,304.58125,-150.36875,90.0,bottom
D27,323.63125,-93.21875,90.0,bottom
D28,323.63125,-112.26875,90.0,bottom
D29,323.63125,-131.31875,90.0,bottom
D3,228.38125,-131.31875,90.0,bottom
D30,323.63125,-150.36875,90.0,bottom
D31,92.65,-93.21875,90.0,bottom
D32,92.65,-112.26875,90.0,bottom
D33,92.65,-131.31875,90.0,bottom
D34,92.65,-150.36875,90.0,bottom
D35,149.8,-169.41875,90.0,bottom
D36,149.8,-188.46875,90.0,bottom
D37,111.7,-93.21875,90.0,bottom
D38,111.7,-112.26875,90.0,bottom
D39,111.7,-131.31875,90.0,bottom
D4,228.38125,-150.36875,90.0,bottom
D40,111.7,-150.36875,90.0,bottom
D41,168.85,-169.41875,90.0,bottom
D42,168.85,-188.46875,90.0,bottom
D43,130.75,-93.21875,90.0,bottom
D44,130.75,-112.26875,90.0,bottom
D45,130.75,-131.31875,90.0,bottom
D46,130.75,-150.36875,90.0,bottom
D47,187.9,-169.41875,90.0,bottom
D48,187.9,-188.46875,90.0,bottom
D49,149.8,-93.21875,90.0,bottom
D5,228.38125,-169.41875,90.0,bottom
D50,149.8,-112.26875,90.0,bottom
D51,149.8,-131.31875,90.0,bottom
D52,149.8,-150.36875,90.0,bottom
D53,168.85,-93.21875,90.0,bottom
D54,168.85,-112.26875,90.0,bottom
D55,168.85,-131.31875,90.0,bottom
D56,168.85,-150.36875,90.0,bottom
D57,187.9,-93.21875,90.0,bottom
D58,187.9,-112.26875,90.0,bottom
D59,187.9,-131.31875,90.0,bottom
D6,228.38125,-188.46875,90.0,bottom
D60,187.9,-150.36875,90.0,bottom
D7,247.43125,-93.21875,90.0,bottom
D8,247.43125,-112.26875,90.0,bottom
D9,247.43125,-131.31875,90.0,bottom
J1,299.7125,-171.8,270.0,bottom
J2,271.24375,-172.1175,0.0,top
J3,116.43125,-171.8,90.0,bottom
J4,145.0625,-171.64125,0.0,top
S1,218.75625,-92.94375,0.0,top
S10,237.80625,-150.09375,0.0,top
S11,237.80625,-169.14375,0.0,top
S12,237.80625,-188.19375,0.0,top
S13,256.85625,-92.94375,0.0,top
S14,256.85625,-111.99375,0.0,top
S15,256.85625,-131.04375,0.0,top
S16,256.85625,-150.09375,0.0,top
S17,256.85625,-169.14375,0.0,top
S18,256.85625,-188.19375,0.0,top
S19,275.90625,-92.94375,0.0,top
S2,218.75625,-111.99375,0.0,top
S20,275.90625,-111.99375,0.0,top
S21,275.90625,-131.04375,0.0,top
S22,275.90625,-150.09375,0.0,top
S23,294.95625,-92.94375,0.0,top
S24,294.95625,-111.99375,0.0,top
S25,294.95625,-131.04375,0.0,top
S26,294.95625,-150.09375,0.0,top
S27,313.76875,-92.94375,0.0,top
S28,314.00625,-111.99375,0.0,top
S29,314.00625,-131.04375,0.0,top
S3,218.75625,-131.04375,0.0,top
S30,314.00625,-150.09375,0.0,top
S31,140.275,-186.0875,270.0,top
S32,101.9,-93.31875,90.0,top
S33,101.9,-112.36875,90.0,top
S34,101.9,-131.41875,90.0,top
S35,275.8475,-186.56375,90.0,top
S36,101.9,-150.46875,90.0,top
S37,159.05,-169.51875,90.0,top
S38,159.05,-188.56875,90.0,top
S39,120.95,-93.31875,90.0,top
S4,218.75625,-150.09375,0.0,top
S40,120.95,-112.36875,90.0,top
S41,120.95,-131.41875,90.0,top
S42,120.95,-150.46875,90.0,top
S43,177.8625,-169.51875,90.0,top
S44,178.1,-188.56875,90.0,top
S45,140.0,-93.31875,90.0,top
S46,140.0,-112.36875,90.0,top
S47,140.0,-131.41875,90.0,top
S48,140.0,-150.46875,90.0,top
S49,197.15,-169.51875,90.0,top
S5,218.75625,-169.14375,0.0,top
S50,197.15,-188.56875,90.0,top
S51,159.05,-93.31875,90.0,top
S52,159.05,-112.36875,90.0,top
S53,159.05,-131.41875,90.0,top
S54,159.05,-150.46875,90.0,top
S55,178.1,-93.31875,90.0,top
S56,178.1,-112.36875,90.0,top
S57,178.1,-131.41875,90.0,top
S58,178.1,-150.46875,90.0,top
S59,197.15,-93.31875,90.0,top
S6,218.75625,-188.19375,0.0,top
S60,197.15,-112.36875,90.0,top
S61,197.15,-131.41875,90.0,top
S62,197.15,-150.46875,90.0,top
S7,237.80625,-92.94375,0.0,top
S8,237.80625,-111.99375,0.0,top
S9,237.80625,-131.04375,0.0,top
U1,289.4325,-171.8,90.0,bottom
U2,126.71125,-171.8,90.0,top
